staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
12894,HK Köln-Rheinberg,HK Köln-Rheinberg,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Männer,14,0,0,0,1.Fc KÖLN III,0,fussball.de
13019,HK Rhein-Ruhr,HK Rhein-Ruhr,10,Bezirksklasse / Kreisklasse / Regionsklasse,REGIONSKLASSE MÄNNER,12,0,0,0,DJK Adler 07 Bottrop II,0,fussball.de
13067,HK Wesel,HK Wesel,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Männer · HK Wesel,9,0,0,0,HSG Hiesfeld/Aldenrade IV,0,fussball.de
13118,HR Leipzig,HR Leipzig,10,Bezirksklasse / Kreisklasse / Regionsklasse,RK Männer,9,0,0,0,Germania Zwenkau II,0,fussball.de
13113,HR Ostsachsen,HR Ostsachsen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Freizeitklasse Staffel A,3,0,0,0,MSV Bautzen 04,0,fussball.de
15188,HR Ostsachsen,HR Ostsachsen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Freizeitklasse Staffel B,4,0,0,0,LHV Hoyerswerda IV,0,fussball.de
13106,HR Sachsen-Mitte,HR Sachsen-Mitte,10,Bezirksklasse / Kreisklasse / Regionsklasse,RK Männer St. 1,8,0,0,0,HSV Weinböhla III,0,fussball.de
13107,HR Sachsen-Mitte,HR Sachsen-Mitte,10,Bezirksklasse / Kreisklasse / Regionsklasse,RK Männer St. 2,8,0,0,0,Blau-Weiss Gröditz,0,fussball.de
13100,HR Südwestsachsen,HR Südwestsachsen,10,Bezirksklasse / Kreisklasse / Regionsklasse,RK Männer Ost,12,0,0,0,Burgstädter HC II,0,fussball.de
13099,HR Südwestsachsen,HR Südwestsachsen,10,Bezirksklasse / Kreisklasse / Regionsklasse,RK Männer West,10,0,0,0,BSG Wismut AUE II,0,fussball.de
13445,Hamburger Handballverband,Hamburger Handballverband,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer Gruppe 1 (151),8,0,0,0,Elmshorner HT II,0,fussball.de
13446,Hamburger Handballverband,Hamburger Handballverband,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer Gruppe 2 (152),7,0,0,0,Ahrensburger TSV III,0,fussball.de
12988,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer Kiel/RD,9,0,0,0,Büdelsdorfer TSV,0,fussball.de
12990,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer LauSto,8,0,0,0,Boizenburger HV,0,fussball.de
12985,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer Nord A,10,1,49,2,HSG Angeln II,2,fussball.de
