rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
132,SG Menden Sauerland Wölfe E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,6,0,0,0,0,0,0,0,0,0.0,,fussball.de
133,SGSH Dragons E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,7,0,0,0,0,0,0,0,0,0.0,,fussball.de
134,Soester TV VON 1862 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,8,0,0,0,0,0,0,0,0,0.0,,fussball.de
135,THW KIEL II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
136,TSG Altenhagen-Heepen II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
137,TSG Harsewinkel,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
138,TSV Bonn rrh. 1. Männer,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
139,TSV GWD Minden E.V. II,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
140,TSV Hürup,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
141,TUS KL-Dansenberg,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
142,TUS Lintorf 1m,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
143,TUS Volmetal 1887 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,12,0,0,0,0,0,0,0,0,0.0,,fussball.de
144,TV Aldekerk,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
145,TV Korschenbroich 1. Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,14,0,0,0,0,0,0,0,0,0.0,,fussball.de
146,TV Nieder-Olm,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
147,TuS Bommern 1. Herren Regionalliga,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,13,0,0,0,0,0,0,0,0,0.0,,fussball.de
148,VfL Gladbeck 1921 e.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,12649,14,0,0,0,0,0,0,0,0,0.0,,fussball.de
